model_short,condition,token_horizon,descriptive_equal_survival,at_risk_at_horizon
12b,n3,8,0.9949748743718593,139
12b,n3,16,0.9949748743718593,138
12b,n3,32,0.9949748743718593,129
12b,n3,64,0.9297936716237947,111
12b,n3,128,0.8608233888281419,98
12b,n3,256,0.4998778098363673,42
12b,n6,8,0.9949748743718593,139
12b,n6,16,0.9949748743718593,138
12b,n6,32,0.9949748743718593,129
12b,n6,64,0.9539183939875925,111
12b,n6,128,0.882485318838958,98
12b,n6,256,0.4927248562530668,42
26b,n4,8,1.0,139
26b,n4,16,1.0,139
26b,n4,32,0.9927007299270073,133
26b,n4,64,0.9609746115446705,117
26b,n4,128,0.8645875694115421,88
26b,n4,256,0.500623877197006,38
26b,n6,8,1.0,139
26b,n6,16,1.0,139
26b,n6,32,0.9927007299270073,133
26b,n6,64,0.9609746115446705,117
26b,n6,128,0.8645875694115421,88
26b,n6,256,0.500623877197006,38
