model_short,condition,item_id,family,baseline_stable,byte_equal,token_equal,common_token_prefix,first_divergent_token,normalized_char_edit_similarity,length_difference_tokens,baseline_correct,mtp_correct
12b,n6,gsm8k-000,gsm8k,True,True,True,112,,1.0,0,True,True
12b,n6,gsm8k-001,gsm8k,True,False,False,15,15.0,0.37993235625704624,31,True,True
12b,n6,gsm8k-002,gsm8k,True,False,False,113,113.0,0.9547826086956521,-14,True,True
12b,n6,gsm8k-003,gsm8k,True,False,False,116,116.0,0.9887640449438202,3,True,True
12b,n6,gsm8k-004,gsm8k,True,True,True,147,,1.0,0,True,True
12b,n6,gsm8k-005,gsm8k,True,False,False,45,45.0,0.9155124653739612,-17,True,True
12b,n6,gsm8k-006,gsm8k,True,True,True,172,,1.0,0,True,True
12b,n6,gsm8k-007,gsm8k,True,False,False,12,12.0,0.9899244332493703,0,True,True
12b,n6,gsm8k-008,gsm8k,True,False,False,59,59.0,0.8610603290676417,3,True,True
12b,n6,gsm8k-009,gsm8k,True,False,False,170,170.0,0.5546367395156526,0,False,False
12b,n6,gsm8k-010,gsm8k,True,True,True,182,,1.0,0,True,True
12b,n6,gsm8k-011,gsm8k,True,False,False,11,11.0,0.7428571428571429,5,True,True
12b,n6,gsm8k-012,gsm8k,True,False,False,12,12.0,0.8492063492063492,35,True,True
12b,n6,gsm8k-013,gsm8k,True,True,True,158,,1.0,0,True,True
12b,n6,gsm8k-014,gsm8k,True,True,True,303,,1.0,0,True,True
12b,n6,gsm8k-015,gsm8k,True,False,False,103,103.0,0.9786324786324786,0,True,True
12b,n6,gsm8k-016,gsm8k,True,False,False,139,139.0,0.9540983606557377,8,False,False
12b,n6,gsm8k-017,gsm8k,True,True,True,133,,1.0,0,True,True
12b,n6,gsm8k-018,gsm8k,True,False,False,10,10.0,0.9903381642512077,-1,True,True
12b,n6,gsm8k-019,gsm8k,True,False,False,43,43.0,0.9596774193548387,-2,True,True
12b,n6,gsm8k-020,gsm8k,True,False,False,130,130.0,0.6798107255520505,62,True,True
12b,n6,gsm8k-021,gsm8k,True,False,False,26,26.0,0.6672077922077921,-5,True,True
12b,n6,gsm8k-022,gsm8k,True,False,False,123,123.0,0.9547325102880658,0,True,True
12b,n6,gsm8k-023,gsm8k,True,False,False,3,3.0,0.8534201954397393,26,True,True
12b,n6,gsm8k-024,gsm8k,True,True,True,167,,1.0,0,True,True
12b,n6,gsm8k-025,gsm8k,True,True,True,195,,1.0,0,True,True
12b,n6,gsm8k-026,gsm8k,True,True,True,320,,1.0,0,True,True
12b,n6,gsm8k-027,gsm8k,True,False,False,19,19.0,0.5638536221060493,80,True,True
12b,n6,gsm8k-028,gsm8k,True,False,False,50,50.0,0.6777546777546777,7,True,True
12b,n6,gsm8k-029,gsm8k,True,True,True,92,,1.0,0,True,True
12b,n6,gsm8k-030,gsm8k,True,True,True,224,,1.0,0,True,True
12b,n6,gsm8k-031,gsm8k,True,False,False,8,8.0,0.9071518193224593,31,True,True
12b,n6,gsm8k-032,gsm8k,True,False,False,110,110.0,0.9663341645885287,-14,True,True
12b,n6,gsm8k-033,gsm8k,True,True,True,277,,1.0,0,True,True
12b,n6,gsm8k-034,gsm8k,True,False,False,387,387.0,0.9406548431105047,15,True,True
12b,n6,gsm8k-035,gsm8k,True,False,False,100,100.0,0.5932080924855492,19,True,False
12b,n6,gsm8k-036,gsm8k,True,True,True,168,,1.0,0,True,True
12b,n6,gsm8k-037,gsm8k,True,False,False,18,18.0,0.5952542372881355,75,True,False
12b,n6,gsm8k-038,gsm8k,True,False,False,9,9.0,0.4097387173396675,48,False,True
12b,n6,gsm8k-039,gsm8k,True,True,True,480,,1.0,0,True,True
12b,n6,gsm8k-040,gsm8k,True,False,False,10,10.0,0.9159891598915989,-8,True,True
12b,n6,gsm8k-041,gsm8k,True,True,True,148,,1.0,0,True,True
12b,n6,gsm8k-042,gsm8k,True,False,False,168,168.0,0.9940828402366864,-3,True,True
12b,n6,gsm8k-043,gsm8k,True,True,True,204,,1.0,0,True,True
12b,n6,gsm8k-044,gsm8k,True,False,False,11,11.0,0.6623563218390804,-10,True,True
12b,n6,gsm8k-045,gsm8k,True,True,True,183,,1.0,0,True,True
12b,n6,gsm8k-046,gsm8k,True,True,True,161,,1.0,0,True,True
12b,n6,gsm8k-047,gsm8k,True,True,True,139,,1.0,0,True,True
12b,n6,gsm8k-048,gsm8k,True,False,False,41,41.0,0.9084745762711864,-13,True,True
12b,n6,gsm8k-049,gsm8k,True,True,True,143,,1.0,0,True,True
12b,n6,gsm8k-050,gsm8k,True,False,False,54,54.0,0.6988416988416988,11,False,False
12b,n6,gsm8k-051,gsm8k,True,True,True,207,,1.0,0,True,True
12b,n6,gsm8k-052,gsm8k,True,False,False,12,12.0,0.47876857749469215,2,True,True
12b,n6,gsm8k-053,gsm8k,True,False,False,143,143.0,0.9968602825745683,0,True,True
12b,n6,gsm8k-054,gsm8k,True,False,False,208,208.0,0.7930660888407367,-66,True,True
12b,n6,gsm8k-055,gsm8k,True,False,False,99,99.0,0.9870759289176091,0,True,True
12b,n6,gsm8k-056,gsm8k,True,True,True,235,,1.0,0,True,True
12b,n6,gsm8k-057,gsm8k,True,True,True,218,,1.0,0,True,True
12b,n6,gsm8k-058,gsm8k,True,False,False,16,16.0,0.9446107784431138,3,True,True
12b,n6,gsm8k-059,gsm8k,True,False,False,116,116.0,0.7956043956043957,27,True,True
12b,n6,mmlu_pro-000,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-001,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-002,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-003,mmlu_pro,True,False,False,4,4.0,0.9333333333333333,0,True,False
12b,n6,mmlu_pro-004,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-005,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-006,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-007,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-008,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-009,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-010,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-011,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-012,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-013,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-014,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-015,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-016,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-017,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-018,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-019,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-020,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-021,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-022,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-023,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-024,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-025,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-026,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-027,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-028,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-029,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-030,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-031,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-032,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-033,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-034,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-035,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-036,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-037,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-038,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-039,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-040,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-041,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-042,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-043,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-044,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-045,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-046,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-047,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-048,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-049,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-050,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-051,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-052,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-053,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-054,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-055,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-056,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-057,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,mmlu_pro-058,mmlu_pro,True,True,True,5,,1.0,0,False,False
12b,n6,mmlu_pro-059,mmlu_pro,True,True,True,5,,1.0,0,True,True
12b,n6,ifeval-000,ifeval,True,False,False,17,17.0,0.35238095238095235,-30,True,True
12b,n6,ifeval-001,ifeval,True,False,False,65,65.0,0.6055045871559632,-3,True,True
12b,n6,ifeval-002,ifeval,True,False,False,8,8.0,0.4688524590163935,15,True,True
12b,n6,ifeval-003,ifeval,True,False,False,69,69.0,0.5213178294573644,-29,True,True
12b,n6,ifeval-004,ifeval,True,False,False,28,28.0,0.6290941280613751,5,True,True
