model_short,condition,family,n,baseline_stable_n,byte_equal_n,byte_equal_rate,stable_subset_byte_equal_rate,token_equal_rate,median_first_divergence,mean_edit_similarity,median_length_difference_tokens
12b,n6,gsm8k,60,60,24,0.4,0.4,0.4,47.5,0.8850712489749915,0.0
12b,n6,mmlu_pro,60,60,59,0.9833333333333333,0.9833333333333333,0.9833333333333333,4.0,0.9988888888888888,0.0
12b,n6,ifeval,40,40,5,0.125,0.125,0.125,31.0,0.5794493428372132,1.5
12b,n6,mbpp,40,40,24,0.6,0.6,0.6,62.5,0.8476984497050815,0.0
12b,n6,all,200,200,112,0.56,0.56,0.56,42.0,0.850617599867623,0.0
12b,n3,gsm8k,60,60,24,0.4,0.4,0.4,37.5,0.9004503249035836,0.0
12b,n3,mmlu_pro,60,60,59,0.9833333333333333,0.9833333333333333,0.9833333333333333,4.0,0.9988888888888888,0.0
12b,n3,ifeval,40,40,5,0.125,0.125,0.125,32.0,0.5696065821111012,0.0
12b,n3,mbpp,40,40,22,0.55,0.55,0.55,56.5,0.8327839350548658,0.0
12b,n3,all,200,200,110,0.55,0.55,0.55,37.5,0.8502798675709351,0.0
26b,n6,gsm8k,60,60,28,0.4666666666666667,0.4666666666666667,0.4666666666666667,47.5,0.8984294697753108,0.0
26b,n6,mmlu_pro,60,59,60,1.0,1.0,1.0,,1.0,0.0
26b,n6,ifeval,40,40,4,0.1,0.1,0.1,27.0,0.6001522885483388,-2.5
26b,n6,mbpp,40,40,26,0.65,0.65,0.65,64.0,0.8970434181018048,0.0
26b,n6,all,200,199,118,0.59,0.5879396984924623,0.59,37.5,0.868967982262622,0.0
26b,n4,gsm8k,60,60,28,0.4666666666666667,0.4666666666666667,0.4666666666666667,47.5,0.8992639520279527,0.0
26b,n4,mmlu_pro,60,59,60,1.0,1.0,1.0,,1.0,0.0
26b,n4,ifeval,40,40,4,0.1,0.1,0.1,27.0,0.5996383629420639,-2.5
26b,n4,mbpp,40,40,26,0.65,0.65,0.65,64.0,0.8973713104537581,0.0
26b,n4,all,200,199,118,0.59,0.5879396984924623,0.59,37.5,0.8691811202875502,0.0
