model_short,condition,off_output_token_bin,n,exact_matches,exact_match_rate
12b,n3,1-8,61,60,0.9836065573770492
12b,n3,9-32,12,12,1.0
12b,n3,33-64,16,8,0.5
12b,n3,65-128,13,5,0.38461538461538464
12b,n3,129+,98,25,0.25510204081632654
12b,n6,1-8,61,60,0.9836065573770492
12b,n6,9-32,12,12,1.0
12b,n6,33-64,16,11,0.6875
12b,n6,65-128,13,5,0.38461538461538464
12b,n6,129+,98,24,0.24489795918367346
26b,n4,1-8,61,61,1.0
26b,n4,9-32,6,5,0.8333333333333334
26b,n4,33-64,16,12,0.75
26b,n4,65-128,29,18,0.6206896551724138
26b,n4,129+,88,22,0.25
26b,n6,1-8,61,61,1.0
26b,n6,9-32,6,5,0.8333333333333334
26b,n6,33-64,16,12,0.75
26b,n6,65-128,29,18,0.6206896551724138
26b,n6,129+,88,22,0.25
