model_short,condition,family,n,exact_matches,exact_match_rate,min_off_tokens,median_off_tokens,max_off_tokens,median_off_tokens_exact,median_off_tokens_divergent,spearman_rho,bootstrap_ci95_low,bootstrap_ci95_high,spearman_p_unadjusted,bootstrap_replicates,valid_bootstrap_replicates,identifiable_within_family,spearman_p_bh_all_identifiable
12b,n3,gsm8k,60,24,0.4,92,205.5,513,185.0,232.5,-0.26423800551331594,-0.4923876336107724,-0.014859363361585571,0.04133643857759248,20000,20000,True,0.04133643857759248
12b,n3,ifeval,40,5,0.125,3,200.5,769,22.0,240.0,-0.5533812588857036,-0.7167796476121258,-0.2710426911686571,0.00021247956305706387,20000,19904,True,0.00042495912611412775
12b,n3,mbpp,40,22,0.55,20,58.5,513,36.5,202.5,-0.6403861083916484,-0.7929785285682815,-0.4209668538234756,8.573329070569558e-06,20000,20000,True,2.5719987211708674e-05
12b,n3,mmlu_pro,60,59,0.9833333333333333,5,5.0,5,5.0,5.0,,,,,20000,0,False,
12b,n6,gsm8k,60,24,0.4,92,205.5,513,177.0,235.5,-0.32906963511881354,-0.5521716523181529,-0.0849231706715343,0.010250051113581885,20000,20000,True,0.013449385351581345
12b,n6,ifeval,40,5,0.125,3,200.5,769,22.0,240.0,-0.5664790401611048,-0.7246565026729405,-0.27114581968796064,0.00013872052571491393,20000,19907,True,0.00033292926171579344
12b,n6,mbpp,40,24,0.6,20,58.5,513,36.5,221.0,-0.7011901633771305,-0.8301065107482041,-0.5093866566809492,4.6725446811179634e-07,20000,20000,True,5.6070536173415566e-06
12b,n6,mmlu_pro,60,59,0.9833333333333333,5,5.0,5,5.0,5.0,,,,,20000,0,False,
26b,n4,gsm8k,60,28,0.4666666666666667,67,193.5,513,159.5,210.0,-0.321228626961759,-0.5459158833288787,-0.07450005888812837,0.012328603238949565,20000,20000,True,0.013449385351581345
26b,n4,ifeval,40,4,0.1,3,199.5,680,19.5,240.5,-0.5125826063919876,-0.6937974857416107,-0.27079317962501936,0.0007205492637124038,20000,19665,True,0.0010808238955686057
26b,n4,mbpp,40,26,0.65,26,86.0,513,56.0,242.5,-0.6427095868425262,-0.8130294884889123,-0.38981761521720587,7.761293446279068e-06,20000,20000,True,2.5719987211708674e-05
26b,n4,mmlu_pro,60,60,1.0,5,5.0,5,5.0,,,,,,20000,0,False,
26b,n6,gsm8k,60,28,0.4666666666666667,67,193.5,513,159.5,210.0,-0.321228626961759,-0.5471938655815807,-0.08058511158752113,0.012328603238949565,20000,20000,True,0.013449385351581345
26b,n6,ifeval,40,4,0.1,3,199.5,680,19.5,240.5,-0.5125826063919876,-0.6936879756192958,-0.2707931796250194,0.0007205492637124038,20000,19711,True,0.0010808238955686057
26b,n6,mbpp,40,26,0.65,26,86.0,513,56.0,242.5,-0.6427095868425262,-0.8101477312076607,-0.39119247445805544,7.761293446279068e-06,20000,20000,True,2.5719987211708674e-05
26b,n6,mmlu_pro,60,60,1.0,5,5.0,5,5.0,,,,,,20000,0,False,
