model_short,condition,family,n,both_correct,regressions,improvements,both_incorrect,net_change,mcnemar_exact_p,holm_adjusted_p_within_model,macro_accuracy_difference,paired_bootstrap_ci_low,paired_bootstrap_ci_high,noninferiority_margin,noninferiority_pass
12b,n6,gsm8k,60,54.0,2,1,3.0,-1,1.0,1.0,,,,,
12b,n6,mmlu_pro,60,33.0,1,0,26.0,-1,1.0,1.0,,,,,
12b,n6,ifeval,40,34.0,0,2,4.0,2,0.5,1.0,,,,,
12b,n6,mbpp,40,31.0,3,1,5.0,-2,0.625,1.0,,,,,
12b,n6,macro,200,,6,4,,-2,,,-0.008333333333333333,-0.04166666666666667,0.027083333333333334,-0.05,True
12b,n3,gsm8k,60,55.0,1,1,3.0,0,1.0,1.0,,,,,
12b,n3,mmlu_pro,60,33.0,1,0,26.0,-1,1.0,1.0,,,,,
12b,n3,ifeval,40,34.0,0,1,5.0,1,1.0,1.0,,,,,
12b,n3,mbpp,40,32.0,2,1,5.0,-1,1.0,1.0,,,,,
12b,n3,macro,200,,4,3,,-1,,,-0.004166666666666667,-0.03333333333333333,0.025,-0.05,True
26b,n6,gsm8k,60,53.0,0,1,6.0,1,1.0,1.0,,,,,
26b,n6,mmlu_pro,60,37.0,0,0,23.0,0,1.0,1.0,,,,,
26b,n6,ifeval,40,34.0,1,0,5.0,-1,1.0,1.0,,,,,
26b,n6,mbpp,40,33.0,1,0,6.0,-1,1.0,1.0,,,,,
26b,n6,macro,200,,2,1,,-1,,,-0.008333333333333335,-0.029166666666666667,0.008333333333333333,-0.05,True
26b,n4,gsm8k,60,53.0,0,1,6.0,1,1.0,1.0,,,,,
26b,n4,mmlu_pro,60,37.0,0,0,23.0,0,1.0,1.0,,,,,
26b,n4,ifeval,40,34.0,1,0,5.0,-1,1.0,1.0,,,,,
26b,n4,mbpp,40,33.0,1,0,6.0,-1,1.0,1.0,,,,,
26b,n4,macro,200,,2,1,,-1,,,-0.008333333333333335,-0.029166666666666667,0.008333333333333333,-0.05,True
