model_short,condition,prompt_id,byte_equal,baseline_sha256,mtp_sha256
12b,n1,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,7ba7ff7323748c2bb559367e394201c6ddd8293c6e0c59d65f0bb2d69f99f794
12b,n1,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,b90d76fc734e552f877411f8b77f7d394e895c92074b4ec9465e98b203c3b35e
12b,n1,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,ad76d74e9e4fa9a27bd850b0c1e06a4bf927370a9de9aaab2f3a65e74dd3069a
12b,n1,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,dce03c319cd34234c69e1dab898541820dea356b6c9f523b6144076341007e5e
12b,n1,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,0b4bc6fc5e72b132483d2552710a13f45a6a78b4309e24c9e651030b34d66b99
12b,n1,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,08537ad280680f6c0813cc4ae9ec1fe21b6a8914f3612e779f15303c7e524884
12b,n1,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,d1a39d64a3a55e78af818df7825b62d79d37b9dc8f220198125c149ed9d63264
12b,n1,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,530d436f05cc927f8fb04a5eb1494a52805eebe355b7804cb66d552ff77407b5
12b,n1,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,36d38cdf59f0e4777a1abd4329d5c80dbce8a964fa933a285247bbf96d4e50e3
12b,n2,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,599217f46fd9c20f7a36fd615ee4ad216d0b3b604acb127f9fd7131f0157c679
12b,n2,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,0c3d9dff43516855ef5dc07ba451bf6b310d415af0c5c2acc96341ff0339cdae
12b,n2,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,d166b95a035de578d146490e93fbdf84b68d302f835b7a9db4bf8782b4931e46
12b,n2,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,2226dae18f350d2a980c331b59eb775759865131bb7db452e311905eefd2fbdd
12b,n2,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,f4183ece7fa810d91e51053a29b7cbfce5a154bc1596ddc9c4c02bd9de6d4af8
12b,n2,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,084108267c896c81c00e7f9115897b433306e9179943cb6eff7fa4acff364d09
12b,n2,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,ac3a440897449cc04f3e68d030efc4450db3e6f46eab7213d2ea7d198e165036
12b,n2,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,210fface98ab44344b9d8cd16e5f2c7749f070bc4550db2d29d183f1e620ea14
12b,n2,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,a20aac132b5adf080017e8599cc85d9df4cc64d9051783a6e1a1625db21f7452
12b,n3,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,0c3d9dff43516855ef5dc07ba451bf6b310d415af0c5c2acc96341ff0339cdae
12b,n3,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,084108267c896c81c00e7f9115897b433306e9179943cb6eff7fa4acff364d09
12b,n3,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,f4183ece7fa810d91e51053a29b7cbfce5a154bc1596ddc9c4c02bd9de6d4af8
12b,n3,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,62c354961b35ba9e08700a43e508ffd0b51e38fca3ac69a987e0f804b6e39678
12b,n3,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,2226dae18f350d2a980c331b59eb775759865131bb7db452e311905eefd2fbdd
12b,n3,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,5a6c67153e8693268d02071bd558bddc1c2e6d0841842f915194a8c452b5a924
12b,n3,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,ac3a440897449cc04f3e68d030efc4450db3e6f46eab7213d2ea7d198e165036
12b,n3,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,210fface98ab44344b9d8cd16e5f2c7749f070bc4550db2d29d183f1e620ea14
12b,n3,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,a20aac132b5adf080017e8599cc85d9df4cc64d9051783a6e1a1625db21f7452
12b,n4,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,69047099891dca999f9ff1d2e1f5477f83a5ca9441320e540fb2eb15bef0325a
12b,n4,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,911742caeb143b5ac39787e81a93b0cd5b4a4a528bec1bd4ebe19c5ba5d19850
12b,n4,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,eca108250569079ee9a5c820fabd6fad8e1dd3d0a70ecca921eb4ba8ac96fb1f
12b,n4,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,2bd29807bf1edb273375d780af6e9e1090e5076ea19a973151acee5cad3386df
12b,n4,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,ed16b05382943555a85d8f692db37dcbb83a4acb2390d0904c65c0dfecd99e14
12b,n4,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,ac1805da7e56cb998553175234328e8be02f2d826b777904a6a6de0acde9d806
12b,n4,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,d851bdba185057117807cad1ecff75380121c5865307d8c373c2d4ae409d7f84
12b,n4,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,905afeb1c10bbc3be9eb96031cf329648603c71692fd85803a3a8f8da8139a06
12b,n4,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,70c6956adacd7e174110b84ae8dd525344e440e27f5aa3fc870ae239f3ba3cef
