acceptance_rate,architecture,batch,condition,context,decode_ms,decode_tok_s,draft_kv,draft_model_sha256,draft_tokens_accepted,draft_tokens_proposed,flash_attention,input_tokens_expected,length_class,main_model_sha256,model,model_short,n_max,output_bytes,output_sha256,output_tokens,p_min,parallel,prompt_id,prompt_ms,prompt_sha256,prompt_tok_s,prompt_tokens,quantization,requested_output_tokens,run_key,runtime_commit,seed,status,target_kv,temperature,time_to_first_content_ms,timestamp,top_k,ubatch,wall_ms
,dense,512,off,8192,2934.944,87.22483290992946,,,0,0,True,3995,long,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,975,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,256,,1,12b-4000-2,1004.064,86b67ad17f190d995929f17b6bcad66823c0b2064038e40a99afbfe7d3329ff6,3978.8300347388217,3995,QAT Q4_0,256,12b:off:4000:2,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20264811,ok,f16/f16,0.0,1022.253638,2026-08-09T14:42:04+0900,1,512,3957.465417
,dense,512,off,8192,2881.351,88.84721090904925,,,0,0,True,1021,medium,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,433,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,256,,1,12b-1024-2,325.914,c00cb12e642260cba5ee2373f39459eb9174d8edb087111cac6cc26012c7c9ed,3132.728265738815,1021,QAT Q4_0,256,12b:off:1024:2,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261835,ok,f16/f16,0.0,693.198936,2026-08-09T14:42:08+0900,1,512,3574.599224
,dense,512,off,8192,2795.077,91.5896055815278,,,0,0,True,220,short,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,965,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,256,,1,12b-256-2,89.128,6a1be2d5a03d891e83db3fb614531412ed659acbec5c9232479fcbc1d987f130,2468.3601113006016,220,QAT Q4_0,256,12b:off:256:2,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261067,ok,f16/f16,0.0,391.410466,2026-08-09T14:42:12+0900,1,512,3186.726693
,dense,512,off,8192,2877.261,88.97350640070539,,,0,0,True,985,medium,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,308,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,256,,1,12b-1024-1,314.269,983d181a3fbe7000d237e9148de64f4224f57ad63471a8ac12408cc6c8f8f014,3134.2575946084403,985,QAT Q4_0,256,12b:off:1024:1,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261834,ok,f16/f16,0.0,470.677214,2026-08-09T14:42:15+0900,1,512,3348.004824
,dense,512,off,8192,2878.587,88.9325214072043,,,0,0,True,1018,medium,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,816,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,256,,1,12b-1024-0,314.449,c94d46d729670d58d1e2aa0240aa435a1946a09be8350f15736c9015cba3d9d5,3237.408927997863,1018,QAT Q4_0,256,12b:off:1024:0,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261833,ok,f16/f16,0.0,316.390431,2026-08-09T14:42:19+0900,1,512,3195.055236
,dense,512,off,8192,2925.206,87.51520405742365,,,0,0,True,3959,long,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,320,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,256,,1,12b-4000-1,1016.435,026a0b42c9e5001fe6f98cf2e4ce8974ca1015d1dd358220cef5385d40a59f1d,3894.9859066246245,3959,QAT Q4_0,256,12b:off:4000:1,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20264810,ok,f16/f16,0.0,1020.216077,2026-08-09T14:42:22+0900,1,512,3945.671087
,dense,512,off,8192,2799.986,91.4290285737143,,,0,0,True,217,short,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,1029,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,256,,1,12b-256-0,75.911,b0d6c139fb89e109e1079a05af83d268b63b62ee9e3a0731c338acfff1e7e16f,2858.610741526261,217,QAT Q4_0,256,12b:off:256:0,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261065,ok,f16/f16,0.0,525.653765,2026-08-09T14:42:26+0900,1,512,3325.861421
,dense,512,off,8192,2928.939,87.40366392062109,,,0,0,True,3992,long,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,321,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,256,,1,12b-4000-0,1018.251,dead35f2868e643235e86ed266c503ac1a923602174dd3f142b79fbe159db627,3920.4479052807214,3992,QAT Q4_0,256,12b:off:4000:0,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20264809,ok,f16/f16,0.0,1190.27647,2026-08-09T14:42:29+0900,1,512,4119.396048
,dense,512,off,8192,2809.44,91.12136226436586,,,0,0,True,226,short,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,0,386,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,256,,1,12b-256-1,77.24,3068836f7f6fc2613833f94be555cb59e9ed1751c38c94cc4a6f2e347454b3c8,2925.9451061626105,226,QAT Q4_0,256,12b:off:256:1,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261066,ok,f16/f16,0.0,507.885075,2026-08-09T14:42:33+0900,1,512,3317.374851
0.4740566037735849,dense,512,n8,8192,1185.126,216.01078703867776,f16/f16,fcb35dea42c71333db904cee11baac525c9ef872818ee3753f6cb156f3c6f4f6,201,424,True,1018,medium,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,8,692,a2f4f2df4e411df25e08ce833dd7706b30cac0d7b7a9fcc7ff47ddcd2e7d560b,256,0.0,1,12b-1024-0,435.079,c94d46d729670d58d1e2aa0240aa435a1946a09be8350f15736c9015cba3d9d5,2339.8049549622024,1018,QAT Q4_0,256,12b:n8:1024:0,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261833,ok,f16/f16,0.0,450.139412,2026-08-09T14:42:40+0900,1,512,1635.40326
0.39835728952772076,dense,512,n8,8192,1330.101,192.46658712383493,f16/f16,fcb35dea42c71333db904cee11baac525c9ef872818ee3753f6cb156f3c6f4f6,194,487,True,985,medium,faff1a63667fac17ac5e777f47114688fcefea96e220e211aaa8d62c2c4561f1,gemma4-12b-it-qat-q4_0,12b,8,426,6bb0a1738881e861f99218c9d13ff4f822f38b37b782168e4e00c1d2db0061d8,256,0.0,1,12b-1024-1,442.656,983d181a3fbe7000d237e9148de64f4224f57ad63471a8ac12408cc6c8f8f014,2225.204221788477,985,QAT Q4_0,256,12b:n8:1024:1,7ba604f1cb61cd14898138e9abc0b4ff2601f180,20261834,ok,f16/f16,0.0,444.437131,2026-08-09T14:42:42+0900,1,512,1774.76409
