model_short,condition,n_max,requests,aggregate_decode_tok_s,mean_decode_tok_s,median_decode_tok_s,sd_decode_tok_s,cv_decode_tok_s,median_paired_speedup,median_paired_speedup_ci_low,median_paired_speedup_ci_high,aggregate_prompt_tok_s,median_wall_ms,median_ttfc_ms,draft_proposed,draft_accepted,acceptance_rate,exact_output_matches,exact_output_match_rate
12b,off,0,9,89.1958747991883,89.226326224949,88.9325214072043,1.6525444536051166,0.018520816932873347,,,,3690.805283992274,3348.004824,525.653765,0,0,,,
12b,n1,1,9,140.2934471269071,140.41469997704846,140.95037996037973,4.093984595782823,0.029156381749574703,1.5822290062462545,1.5535594607578573,1.591025957580796,2975.682319787345,2387.388016,532.468833,1249,1040,0.8326661329063251,0.0,0.0
12b,n2,2,9,182.3823552670544,182.7806016410695,181.6124489658377,8.590257367535465,0.04699764247632991,2.033140475715457,1.9526888467597663,2.1481539834285437,2928.855398888635,1943.410323,497.211261,1769,1408,0.7959299039005088,0.0,0.0
12b,n3,3,9,203.91495471919742,204.8947815479379,201.16376380545265,14.362032855786046,0.07009467370171092,2.2609400476978143,2.14222380500629,2.468427518102039,2951.15222927808,1799.799231,454.403489,2180,1564,0.7174311926605504,0.0,0.0
12b,n4,4,9,221.6943297056546,224.47707881908525,224.847196129115,24.25447849390526,0.10804879777259077,2.454942290683509,2.3533685850488477,2.8366348180001673,2983.211349828236,1876.922112,521.422927,2474,1671,0.675424413904608,0.0,0.0
12b,n6,6,9,226.39335826346073,232.2799539562202,227.5581851168058,35.977361075719855,0.15488792925497488,2.497091922860504,2.266005562049589,3.0536495124599603,2956.6600502895103,1984.583733,517.600088,3077,1775,0.5768605784855378,0.0,0.0
12b,n8,8,9,220.67318923233603,223.61971094642738,222.22511577841726,25.29654425259175,0.11312305228161237,2.4387817549707678,2.163189863025439,2.7550217389375864,2983.055375338701,1774.76409,450.139412,3733,1821,0.4878114117331905,0.0,0.0
12b,n12,12,9,223.3019240697861,227.29279874706498,227.60876542693978,28.272579146558215,0.12438836295038273,2.4927057659183696,2.3946812137742923,2.9071988105673463,2953.1022875066947,1695.777484,522.694227,4818,1887,0.3916562889165629,0.0,0.0
12b,n16,16,9,182.9631307850476,193.62654192849226,169.31597668201536,46.444707453384105,0.23986746336944076,1.8878505714862839,1.640664371731585,2.6907699751454754,2960.2757243188557,2172.465495,533.135631,6758,1865,0.27596922166321397,0.0,0.0
26b,off,0,9,169.58314343554252,169.70248674186325,169.0959903773813,4.509737450582752,0.026574374584401785,,,,5042.865810995596,1846.572289,369.190134,0,0,,,
26b,n1,1,9,231.7834458532644,232.23417008338868,230.6919406508937,10.256194275448092,0.044163157694517494,1.3614715925100764,1.315610239309864,1.421121094310612,4140.423195586726,1507.771863,395.979203,1224,1067,0.8717320261437909,0.0,0.0
26b,n2,2,9,278.360380039241,279.02396340308826,276.36655705565977,13.90584182763708,0.04983744642587629,1.6234803069907704,1.5783961333404086,1.742393368691083,4119.222140772895,1338.893863,383.230235,1696,1443,0.8508254716981132,0.0,0.0
26b,n3,3,9,293.9577894986641,297.25470343975087,294.2447564664883,30.621813038649695,0.1030154028996089,1.7422427427289362,1.5641896525123002,1.9431661941973772,4171.655637338946,1330.215605,312.758956,2067,1601,0.7745524915336236,1.0,0.1111111111111111
26b,n4,4,9,300.9232623477474,303.91504652817406,304.3047231421365,29.883553648942407,0.09832864147505145,1.7886382056573296,1.6058159866246347,1.9678634022703374,4174.971164043278,1299.918191,366.637193,2337,1705,0.7295678219940094,1.0,0.1111111111111111
26b,n6,6,9,322.5256897171279,327.6183768851562,323.2257934183148,39.846771211500815,0.12162556810868018,1.859724407001707,1.7009007137555494,2.202023443003341,4104.841102501556,1227.33472,370.326763,2626,1853,0.7056359482102056,1.0,0.1111111111111111
26b,n8,8,9,278.1540422881067,294.56123722826004,305.66069275130445,61.94973594919158,0.21031190842393757,1.7431041276133394,1.424221166300382,2.1547342627702433,4130.716992379325,1456.608357,388.938089,3237,1883,0.5817114612295335,1.0,0.1111111111111111
26b,n12,12,9,268.1155144972642,296.68070957024423,300.1647388508146,81.42239368036894,0.2744445157836957,1.7117621194444608,1.2971267322548388,2.262928334940173,4120.44031489621,1307.275152,390.449258,4208,1938,0.4605513307984791,1.0,0.1111111111111111
26b,n16,16,9,272.3993165898396,286.3816678682879,271.7867323484603,59.93057783158509,0.20926820587953363,1.5876147788527917,1.4141227987419918,2.0592460187578303,4221.779391029995,1619.990696,368.493312,4601,2001,0.43490545533579655,2.0,0.2222222222222222
