model_short,n_max,p_min,requests,aggregate_decode_tok_s,mean_decode_tok_s,median_decode_tok_s,sd_decode_tok_s,cv_decode_tok_s,acceptance_rate,draft_proposed,draft_accepted,speed_ratio_to_n6_p0
12b,6,0.0,9,226.39335826346073,232.2799539562202,227.5581851168058,35.977361075719855,0.15488792925497488,0.5768605784855378,3077,1775,1.0
12b,6,0.25,9,227.88138655141782,233.585546162119,228.40583434153098,35.177412147441295,0.15059755505174355,0.5849490634242523,3043,1780,1.0065727559296391
12b,6,0.5,9,220.36950724938205,224.19487376848897,234.65205957595805,28.661750798248214,0.12784302475999199,0.6111498257839721,2870,1754,0.9733921036364126
12b,6,0.75,9,208.0499623315791,215.50805011560772,210.19960751792033,37.636286268134796,0.17463981622934774,0.6402553511077732,2663,1705,0.9189755562063139
12b,6,0.9,9,210.69145754045886,214.4925709600704,203.83252928301113,30.010267705492165,0.13991285372339926,0.7691256830601093,2196,1689,0.9306432801587355
12b,12,0.0,9,223.3019240697861,227.29279874706498,227.60876542693978,28.272579146558215,0.12438836295038273,0.3916562889165629,4818,1887,0.9863448547369618
12b,12,0.25,9,217.93575303187507,224.71870491794598,225.76847266746333,38.32458941229877,0.17054472357471379,0.38672438672438675,4851,1876,0.9626419904874449
12b,12,0.5,9,216.41695431460636,226.76474026847146,234.458643235456,49.77514252895976,0.21950124375610575,0.428373061791252,4321,1851,0.9559333187802951
12b,12,0.75,9,230.24564332071785,237.92357015803861,247.46947956975112,40.90151853890302,0.17191032612588383,0.549434187016081,3358,1845,1.0170158925456378
12b,12,0.9,9,224.3458696649817,230.7863696524844,222.16552372918716,40.23771758207503,0.1743504941070157,0.6800152555301296,2622,1783,0.9909560571291306
26b,6,0.0,9,322.5256897171279,327.6183768851562,323.2257934183148,39.846771211500815,0.12162556810868018,0.7056359482102056,2626,1853,1.0
26b,6,0.25,9,317.487833422512,322.9326545236197,310.5228428366261,42.03818027655068,0.13017630669330765,0.6930022573363431,2658,1842,0.9843799844315212
26b,6,0.5,9,330.49718740295054,334.0985137844708,329.3667795005204,34.53645369547378,0.10337206623359443,0.784206081081081,2368,1857,1.0247158534652359
26b,6,0.75,9,293.91942704081686,304.88716097745913,317.49575225409586,55.58176267371593,0.18230273290460136,0.7651416122004358,2295,1756,0.9113054755377774
26b,6,0.9,9,309.01320709571576,319.3094261412947,340.3508538684996,51.36126499220228,0.16085107669034135,0.8705071393402265,2031,1768,0.9581041664207794
26b,8,0.0,9,278.1540422881067,294.56123722826004,305.66069275130445,61.94973594919158,0.21031190842393757,0.5817114612295335,3237,1883,0.8624244553420305
26b,8,0.25,9,272.0805660787333,289.1121648148008,306.14612258760445,64.16819269973567,0.221949127394347,0.5694317836523853,3291,1874,0.8435934710111382
26b,8,0.5,9,260.708895095561,271.8971390459542,267.61698573371484,53.05999942977706,0.19514732525673698,0.582396402184388,3113,1813,0.808335284312442
26b,8,0.75,9,276.6577581427619,283.8269013775111,290.01827341699305,42.52140821304339,0.14981458067107853,0.7223567393058918,2478,1790,0.8577851841365115
26b,8,0.9,9,300.76357920146745,311.6550742445714,311.74423334055865,55.4302264382122,0.17785760932200745,0.8311808118081181,2168,1802,0.9325259623977645
