model_short,condition,item_id,family,correct,finish_reason,wall_ms,output_tokens,output_sha256
12b,off_a,mmlu_pro-000,mmlu_pro,False,stop,196.613419,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,off_a,gsm8k-000,gsm8k,True,stop,1267.934635,112,d2a2ce301323a3d93915f9da59e0ccde89d44815d10d86e0bf87b53f6c044542
12b,off_a,mbpp-000,mbpp,True,stop,442.812405,31,9f51484c9a5a56047ab13d4b4f31250b8eacc1660d73ccceb372fe3bf437c6e3
12b,off_a,ifeval-000,ifeval,True,stop,2352.34798,207,f3aaada56e017a783687c231f7f57eb390e74c24a5a8441f019807253d978a68
12b,n6,mmlu_pro-000,mmlu_pro,False,stop,197.672402,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,n6,gsm8k-000,gsm8k,True,stop,613.334711,112,d2a2ce301323a3d93915f9da59e0ccde89d44815d10d86e0bf87b53f6c044542
12b,n6,ifeval-000,ifeval,True,stop,1205.679382,177,fdb0402c11246811edda053fec0a722c8081897fc609445b1d9dc303a93bf98d
12b,n6,mbpp-000,mbpp,True,stop,261.17605,31,9f51484c9a5a56047ab13d4b4f31250b8eacc1660d73ccceb372fe3bf437c6e3
12b,off_a,ifeval-034,ifeval,True,stop,2646.574617,237,f8e04a4e666d4f600971a3122a3aa307e23df6428a3560851a9f21d64f8ea464
12b,off_a,gsm8k-049,gsm8k,True,stop,1671.466529,143,c5ab262e6075d45c6f8130bb326c6be4da67379393be73afdbb5be3b4c943d32
12b,off_a,ifeval-031,ifeval,False,stop,1279.621002,109,4b2b07ffde38a8641f5ecb46263420580f25c542777868fed0837ea9d21dc4fd
12b,off_a,mbpp-030,mbpp,True,stop,2036.502427,172,408433a638513305bfd2fc3694105d54d393a56f1565fa5566678614bfd1acc6
12b,off_a,gsm8k-007,gsm8k,True,stop,2726.93721,235,029637431c85e913957288b6b9853bab6261bdb593de497c60a4769513f7b11a
12b,off_a,mmlu_pro-050,mmlu_pro,False,stop,224.635012,5,7f12398eab61eabfade2a1506d641f27c6035a371dd16cf1e5bbce8ac82b36d3
12b,off_a,mmlu_pro-038,mmlu_pro,True,stop,207.223423,5,7f12398eab61eabfade2a1506d641f27c6035a371dd16cf1e5bbce8ac82b36d3
12b,off_a,gsm8k-006,gsm8k,True,stop,1991.394427,172,d7f2798e62f243feaf28a2295d563fbc47895100fec96776cfd4d90876e120ec
12b,off_a,gsm8k-010,gsm8k,True,stop,2104.070629,182,3f63ce0c1e338b14a377d0e3382211897298eb19280217c7f643227b0e87d160
12b,off_a,mbpp-012,mbpp,True,stop,387.219527,25,88e3a231028f25a24a39fc4fb80211609502549f02a0a820d9108ccc498168d7
12b,off_a,mbpp-038,mbpp,True,stop,711.278017,56,9d32bf8ec3a60d064d92722ee54882cf4ab20d7f501c8938357b484291e640b7
12b,off_a,ifeval-006,ifeval,True,stop,923.319419,76,3664600c8f424da0fb936225737799f3e9dea297398b545dd1042dc385b21d0a
12b,off_a,mmlu_pro-048,mmlu_pro,False,stop,187.489706,5,e192490fee64ad593d0794e211855b9bb10e590dbd903c73641084fcd6da0256
12b,off_a,gsm8k-015,gsm8k,True,stop,2142.785571,187,4fc34790d6c11cce663ec2b12aab55346e0fac4a024addc360224a5c7c53f82a
12b,off_a,gsm8k-014,gsm8k,True,stop,3420.492695,303,a16ae347fec9b6ef002e8087d332a3974e8321270c746a6263a9add3f3484033
12b,off_a,mmlu_pro-015,mmlu_pro,True,stop,234.08127,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,off_a,ifeval-009,ifeval,True,length,8560.097172,768,e124e43dc33028f51c57fe48db268350dc677c1a1a1c98c3784f8ccfc292a478
12b,off_a,mbpp-028,mbpp,True,stop,551.944509,32,935a46b12d1be56832c2a572cbcfa849f01b218bb282f24708f561971ef205f1
12b,off_a,ifeval-037,ifeval,True,stop,7504.418187,675,3cf8aafd04f59d0935e287354e0a68c67c2ea320e0127d271718984f9696d940
12b,off_a,mbpp-001,mbpp,True,stop,1680.316697,136,22d64486cead50263a0b44dbbe07ae02de501a4c91023bdf92eff42d266fb257
12b,off_a,mbpp-017,mbpp,True,stop,1546.005644,131,8f9856eda2daf17f12c501208241696a0e434a4810f8964c6ed171f86daa523a
