model_short,condition,family,n,correct,accuracy,length_truncations
12b,off_a,gsm8k,60,56,0.9333333333333333,1
12b,off_a,mmlu_pro,60,34,0.5666666666666667,0
12b,off_a,ifeval,40,34,0.85,1
12b,off_a,mbpp,40,34,0.85,4
12b,off_a,macro,200,158,0.8,6
12b,off_b,gsm8k,60,56,0.9333333333333333,1
12b,off_b,mmlu_pro,60,34,0.5666666666666667,0
12b,off_b,ifeval,40,34,0.85,1
12b,off_b,mbpp,40,34,0.85,4
12b,off_b,macro,200,158,0.8,6
12b,n6,gsm8k,60,55,0.9166666666666666,3
12b,n6,mmlu_pro,60,33,0.55,0
12b,n6,ifeval,40,36,0.9,0
12b,n6,mbpp,40,32,0.8,6
12b,n6,macro,200,156,0.7916666666666667,9
12b,n3,gsm8k,60,56,0.9333333333333333,2
12b,n3,mmlu_pro,60,33,0.55,0
12b,n3,ifeval,40,35,0.875,0
12b,n3,mbpp,40,33,0.825,5
12b,n3,macro,200,157,0.7958333333333334,7
26b,off_a,gsm8k,60,53,0.8833333333333333,2
26b,off_a,mmlu_pro,60,37,0.6166666666666667,0
26b,off_a,ifeval,40,35,0.875,0
26b,off_a,mbpp,40,34,0.85,2
26b,off_a,macro,200,159,0.80625,4
26b,off_b,gsm8k,60,53,0.8833333333333333,2
26b,off_b,mmlu_pro,60,37,0.6166666666666667,0
26b,off_b,ifeval,40,35,0.875,0
26b,off_b,mbpp,40,34,0.85,2
26b,off_b,macro,200,159,0.80625,4
26b,n6,gsm8k,60,54,0.9,1
26b,n6,mmlu_pro,60,37,0.6166666666666667,0
26b,n6,ifeval,40,34,0.85,0
26b,n6,mbpp,40,33,0.825,3
26b,n6,macro,200,158,0.7979166666666666,4
26b,n4,gsm8k,60,54,0.9,1
26b,n4,mmlu_pro,60,37,0.6166666666666667,0
26b,n4,ifeval,40,34,0.85,0
26b,n4,mbpp,40,33,0.825,3
26b,n4,macro,200,158,0.7979166666666666,4
